COUNTRY,DDATE,ZONES,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,AVG
Italy,12/13/2022,SARD,313.13,40,40,0,0,0,40,343.58,353.69,348.9,328.88,319.04,329.99,328.32,359.75,511.93,573,600.1,573.46,526.38,461.6,365.52,330.74,314.01,308.4175
Italy,12/13/2022,SICI,313.13,308.26,295.35,284.66,287.42,300,310.9,310.9,322.28,331.9,314.9,310.9,310.9,303.9,322.28,310.9,322.28,325,350,350,350,350,325,314.01,317.7029167
Italy,12/13/2022,SUD,313.13,308.26,295.35,284.66,287.42,300,322.28,343.58,353.69,348.9,328.88,319.04,329.99,328.32,359.75,511.93,573,600.1,573.46,526.38,461.6,365.52,330.74,314.01,378.3329167
Norway,12/8/2022,NAT,252.68,239.756,229.82,229.596,234.192,252.714,262.71,321.038,348.924,343.732,325.874,325.69,321.336,319.172,331.11,333.94,334.784,354.376,340.454,338.96,325.712,275.654,263.724,237.804,297.6563333
Norway,12/8/2022,NO1,295.72,280.78,269.67,269.91,275.49,298.21,309.44,386.79,434.45,440.92,434.86,432.38,434.57,434.37,439.97,442.82,448.57,482.77,445.03,439.95,420.46,342.18,318.14,290.56,377.83375
Norway,12/8/2022,NO2,295.72,280.78,269.67,269.91,275.49,298.21,309.44,386.79,434.45,440.92,434.86,432.38,434.57,434.37,439.97,442.82,448.57,482.77,445.03,439.95,420.46,342.18,318.14,290.56,377.83375
Norway,12/8/2022,NO3,295.72,280.78,269.67,269.91,275.49,298.21,309.44,369.03,346.63,269.87,240.16,237.49,212.84,198.04,222.13,227.71,236.57,240.35,272.48,280.26,277.18,273.21,288.41,241.67,268.0520833
Norway,12/8/2022,NO4,80.52,75.66,70.42,68.34,69,70.73,75.79,75.79,94.64,126.03,84.63,93.82,90.13,94.71,113.51,113.53,91.64,83.22,94.7,94.69,90,78.52,75.79,75.67,86.72833333
Norway,12/8/2022,NO5,295.72,280.78,269.67,269.91,275.49,298.21,309.44,386.79,434.45,440.92,434.86,432.38,434.57,434.37,439.97,442.82,448.57,482.77,445.03,439.95,420.46,342.18,318.14,290.56,377.83375
Norway,12/9/2022,NAT,254.74,238.91,236.26,233.604,237.298,245.9,263.036,330,353.97,356.736,366.554,376.634,376.938,366.316,370.028,365.66,364.184,382.826,364.574,346.98,341.55,285.644,268.788,253.97,315.8791667
Norway,12/9/2022,NO1,316.54,296.93,293.01,289.23,294.61,308.45,334.18,439.37,460.54,460.94,456.72,470.1,465.23,455.43,461.67,459.22,460.16,492.16,462.57,437.51,426.36,361.98,329.92,308.63,397.5608333
Norway,12/9/2022,NO2,316.54,296.93,293.01,289.23,294.61,308.45,334.18,439.37,460.54,460.94,456.72,470.1,465.23,455.43,461.67,459.22,460.16,492.16,462.57,437.51,426.36,361.98,329.92,308.63,397.5608333
Norway,12/9/2022,NO3,258.02,238.71,237.84,235.39,237.09,237.51,236.65,266.25,312.25,319.95,320.12,320.83,332.32,321.17,308.05,298.64,290.05,292.73,316.35,319.93,314.62,261.49,275.55,267.89,284.1416667
Norway,12/9/2022,NO4,66.06,65.05,64.43,64.94,65.57,66.64,75.99,65.64,75.98,80.91,142.49,152.04,156.68,144.12,157.08,152,150.39,144.92,118.81,102.44,114.05,80.79,78.63,76.07,102.5716667
Norway,12/9/2022,NO5,316.54,296.93,293.01,289.23,294.61,308.45,334.18,439.37,460.54,460.94,456.72,470.1,465.23,455.43,461.67,459.22,460.16,492.16,462.57,437.51,426.36,361.98,329.92,308.63,397.5608333
Norway,12/10/2022,NAT,263.072,258.246,248.238,243.246,243.072,239.004,241.096,240.618,276.056,309.28,328.82,324.82,316.326,303.438,303.826,316.004,331.708,348.992,343.602,332.608,297.278,260.456,251.536,236.736,285.75325
Norway,12/10/2022,NO1,302.79,296.51,282.36,278.83,276.73,278.82,287.21,304.3,336.22,383.5,406.33,399.6,385.36,364.65,365.38,381.3,407.55,435.98,428.98,407.68,349.95,316.13,304.5,285.28,344.4141667
Norway,12/10/2022,NO2,302.79,296.51,282.36,278.83,276.73,278.82,287.21,304.3,336.22,383.5,406.33,399.6,385.36,364.65,365.38,381.3,407.55,435.98,428.98,407.68,349.95,316.13,304.5,285.28,344.4141667
Norway,12/10/2022,NO3,255.26,249.96,249.28,237.49,242.88,244.77,230.08,209.93,219.88,225.16,225.2,225.37,225.59,223.27,223.02,228.91,234.64,237.04,231.17,240.08,246.77,240.07,263.56,251.9,235.8866667
Norway,12/10/2022,NO4,151.73,151.74,144.83,142.25,142.29,113.79,113.77,80.26,151.74,170.74,199.91,199.93,199.96,199.97,199.97,207.21,201.25,199.98,199.9,199.92,189.77,113.82,80.62,75.94,159.6370833
Norway,12/10/2022,NO5,302.79,296.51,282.36,278.83,276.73,278.82,287.21,304.3,336.22,383.5,406.33,399.6,385.36,364.65,365.38,381.3,407.55,435.98,428.98,407.68,349.95,316.13,304.5,285.28,344.4141667
Norway,12/11/2022,NAT,254.4,242.074,236.63,224.764,221.822,223.676,229.734,223.988,227.512,246.684,258.392,272.386,280.644,279.636,282.062,293.488,308.022,338.316,347.808,328.046,310.608,280.16,278.632,256.746,268.5929167
Norway,12/11/2022,NO1,300.56,292.8,288.08,272.52,268.42,269.24,280.98,279.73,285.19,310.25,317.08,335.18,336.93,318.89,319.01,327.98,350.39,401.11,416.72,399.95,372.07,325.62,314.45,297.37,320.0216667
Norway,12/11/2022,NO2,300.56,292.8,288.08,272.52,268.42,269.24,280.98,279.73,285.19,310.25,317.08,335.18,336.93,318.89,319.01,327.98,350.39,401.11,416.72,399.95,372.07,325.62,314.45,297.37,320.0216667
Norway,12/11/2022,NO3,291.62,253.22,240.76,229.44,225.55,232.59,226.71,204.88,205.97,224.62,237.58,242.56,250.09,251.69,253.33,246.32,251.75,251.03,251.68,240.39,236.92,234.11,249.9,239.83,240.5225
Norway,12/11/2022,NO4,78.7,78.75,78.15,76.82,78.3,78.07,79.02,75.87,76.02,78.05,103.14,113.83,142.34,189.82,199.95,237.18,237.19,237.22,237.2,199.99,199.91,189.83,199.91,151.79,142.3770833
Norway,12/11/2022,NO5,300.56,292.8,288.08,272.52,268.42,269.24,280.98,279.73,285.19,310.25,317.08,335.18,336.93,318.89,319.01,327.98,350.39,401.11,416.72,399.95,372.07,325.62,314.45,297.37,320.0216667
Norway,12/12/2022,NAT,244.486,238.986,231.52,229.792,233.286,254.18,321.904,433.444,476.778,441.936,434.518,416.432,411.76,408.094,421.004,438.19,443.326,439.994,421.176,392.024,408.208,331.49,289.55,244.306,358.5993333
Norway,12/12/2022,NO1,280.18,270.54,267.91,265.04,261.36,276.9,364.42,501.44,532.13,499.08,490.81,483.18,475.74,468.79,491.36,520.19,542.35,571.04,541.34,493.3,473.79,396.22,347.76,304.12,421.6245833
Norway,12/12/2022,NO2,280.18,270.54,267.91,265.04,261.36,276.9,364.42,501.44,532.13,499.08,490.81,483.18,475.74,468.79,491.36,520.19,542.35,571.04,541.34,493.3,473.79,396.22,347.76,304.12,421.6245833
Norway,12/12/2022,NO3,239.58,240.96,240,240,240,250.35,258.13,331.45,393.75,356.22,350.08,316.31,315.79,317.05,315.47,315.19,294.79,296.94,292,290.31,310.38,240.66,252.63,199.99,287.4179167
Norway,12/12/2022,NO4,142.31,142.35,113.87,113.84,142.35,189.85,258.13,331.45,393.75,356.22,350.08,316.31,315.79,317.05,315.47,315.19,294.79,189.91,189.86,189.91,309.29,228.13,151.84,109.18,240.705
Norway,12/12/2022,NO5,280.18,270.54,267.91,265.04,261.36,276.9,364.42,501.44,532.13,499.08,490.81,483.18,475.74,468.79,491.36,520.19,542.35,571.04,541.34,493.3,473.79,396.22,347.76,304.12,421.6245833
Norway,12/13/2022,NAT,249.662,235.616,230.822,226.65,237.106,265.636,304.376,426.126,478.656,481.726,481.702,478.802,468.78,503.61,522.004,533.462,528.614,571.402,518.912,473.464,431.79,339.82,313.508,255.336,398.2325833
Norway,12/13/2022,NO1,296.83,279.18,276.44,268.4,273.55,306.91,356.83,484.21,555.18,537.25,503.05,490.51,468.78,506.03,536.68,552.57,574.03,665.01,578.66,507.42,439.35,353.79,321.03,283.08,433.94875
Norway,12/13/2022,NO2,296.83,279.18,276.44,268.4,273.55,306.91,356.83,484.21,555.18,537.25,503.05,490.51,468.78,506.03,536.68,552.57,574.03,665.01,578.66,507.42,439.35,353.79,321.03,283.08,433.94875
Norway,12/13/2022,NO3,275.01,260.53,244.59,243.09,272.15,306.91,300,415.6,443.74,446.83,449.68,461.24,468.78,499.98,499.99,504.8,460.49,430.99,429.29,422.53,420.45,353.79,321.03,283.08,383.9404167
Norway,12/13/2022,NO4,82.81,80.01,80.2,84.96,92.73,100.54,151.39,262.4,284,350.05,449.68,461.24,468.78,499.98,499.99,504.8,460.49,430.99,429.29,422.53,420.45,283.94,283.42,144.36,305.37625
